1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C00000072951141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Thu Jul 20 09:06:01 SGT 2023
Mission Sample Count:  506
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jul 20 09:06:01 SGT 2023
Total Mission Samples:  506
Total Device Samples:  26401
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/7/23 2:41:01 PM,C,33.601
20/7/23 2:42:01 PM,C,34.1
20/7/23 2:43:01 PM,C,34.1
20/7/23 2:44:01 PM,C,33.601
20/7/23 2:45:01 PM,C,33.601
20/7/23 2:46:01 PM,C,33.601
20/7/23 2:47:01 PM,C,33.601
20/7/23 2:48:01 PM,C,33.601
20/7/23 2:49:01 PM,C,33.601
20/7/23 2:50:01 PM,C,33.601
20/7/23 2:51:01 PM,C,33.601
20/7/23 2:52:01 PM,C,33.601
20/7/23 2:53:01 PM,C,33.601
20/7/23 2:54:01 PM,C,33.601
20/7/23 2:55:01 PM,C,33.601
20/7/23 2:56:01 PM,C,33.601
20/7/23 2:57:01 PM,C,33.601
20/7/23 2:58:01 PM,C,33.601
20/7/23 2:59:01 PM,C,33.102
20/7/23 3:00:01 PM,C,33.102
20/7/23 3:01:01 PM,C,33.102
20/7/23 3:02:01 PM,C,33.102
20/7/23 3:03:01 PM,C,33.102
20/7/23 3:04:01 PM,C,33.102
20/7/23 3:05:01 PM,C,33.102
20/7/23 3:06:01 PM,C,33.102
20/7/23 3:07:01 PM,C,33.102
20/7/23 3:08:01 PM,C,33.102
20/7/23 3:09:01 PM,C,33.102
20/7/23 3:10:01 PM,C,33.102
20/7/23 3:11:01 PM,C,33.102
20/7/23 3:12:01 PM,C,33.102
20/7/23 3:13:01 PM,C,33.102
20/7/23 3:14:01 PM,C,33.601
20/7/23 3:15:01 PM,C,33.601
20/7/23 3:16:01 PM,C,33.601
20/7/23 3:17:01 PM,C,33.102
20/7/23 3:18:01 PM,C,33.102
20/7/23 3:19:01 PM,C,33.102
20/7/23 3:20:01 PM,C,33.102
20/7/23 3:21:01 PM,C,33.102
20/7/23 3:22:01 PM,C,33.102
20/7/23 3:23:01 PM,C,33.102
20/7/23 3:24:01 PM,C,33.102
20/7/23 3:25:01 PM,C,33.102
20/7/23 3:26:01 PM,C,33.102
20/7/23 3:27:01 PM,C,33.102
20/7/23 3:28:01 PM,C,33.102
20/7/23 3:29:01 PM,C,33.102
20/7/23 3:30:01 PM,C,32.602
20/7/23 3:31:01 PM,C,32.602
20/7/23 3:32:01 PM,C,32.602
20/7/23 3:33:01 PM,C,32.602
20/7/23 3:34:01 PM,C,32.602
20/7/23 3:35:01 PM,C,32.602
20/7/23 3:36:01 PM,C,32.602
20/7/23 3:37:01 PM,C,32.602
20/7/23 3:38:01 PM,C,32.602
20/7/23 3:39:01 PM,C,33.102
20/7/23 3:40:01 PM,C,33.102
20/7/23 3:41:01 PM,C,33.102
20/7/23 3:42:01 PM,C,33.102
20/7/23 3:43:01 PM,C,33.102
20/7/23 3:44:01 PM,C,33.102
20/7/23 3:45:01 PM,C,32.602
20/7/23 3:46:01 PM,C,32.602
20/7/23 3:47:01 PM,C,32.602
20/7/23 3:48:01 PM,C,32.602
20/7/23 3:49:01 PM,C,32.602
20/7/23 3:50:01 PM,C,32.602
20/7/23 3:51:01 PM,C,32.602
20/7/23 3:52:01 PM,C,32.602
20/7/23 3:53:01 PM,C,33.102
20/7/23 3:54:01 PM,C,33.102
20/7/23 3:55:01 PM,C,33.102
20/7/23 3:56:01 PM,C,33.102
20/7/23 3:57:01 PM,C,32.602
20/7/23 3:58:01 PM,C,32.602
20/7/23 3:59:01 PM,C,32.602
20/7/23 4:00:01 PM,C,32.602
20/7/23 4:01:01 PM,C,32.602
20/7/23 4:02:01 PM,C,32.602
20/7/23 4:03:01 PM,C,32.602
20/7/23 4:04:01 PM,C,32.602
20/7/23 4:05:01 PM,C,32.602
20/7/23 4:06:01 PM,C,32.602
20/7/23 4:07:01 PM,C,32.602
20/7/23 4:08:01 PM,C,32.602
20/7/23 4:09:01 PM,C,32.602
20/7/23 4:10:01 PM,C,32.602
20/7/23 4:11:01 PM,C,32.103
20/7/23 4:12:01 PM,C,32.602
20/7/23 4:13:01 PM,C,32.602
20/7/23 4:14:01 PM,C,32.602
20/7/23 4:15:01 PM,C,32.602
20/7/23 4:16:01 PM,C,32.103
20/7/23 4:17:01 PM,C,32.103
20/7/23 4:18:01 PM,C,32.602
20/7/23 4:19:01 PM,C,32.602
20/7/23 4:20:01 PM,C,32.103
20/7/23 4:21:01 PM,C,32.103
20/7/23 4:22:01 PM,C,32.103
20/7/23 4:23:01 PM,C,32.103
20/7/23 4:24:01 PM,C,32.103
20/7/23 4:25:01 PM,C,32.103
20/7/23 4:26:01 PM,C,32.103
20/7/23 4:27:01 PM,C,32.103
20/7/23 4:28:01 PM,C,32.103
20/7/23 4:29:01 PM,C,32.103
20/7/23 4:30:01 PM,C,32.602
20/7/23 4:31:01 PM,C,32.602
20/7/23 4:32:01 PM,C,32.602
20/7/23 4:33:01 PM,C,32.602
20/7/23 4:34:01 PM,C,32.602
20/7/23 4:35:01 PM,C,32.602
20/7/23 4:36:01 PM,C,32.602
20/7/23 4:37:01 PM,C,32.602
20/7/23 4:38:01 PM,C,32.602
20/7/23 4:39:01 PM,C,32.602
20/7/23 4:40:01 PM,C,32.602
20/7/23 4:41:01 PM,C,32.103
20/7/23 4:42:01 PM,C,32.602
20/7/23 4:43:01 PM,C,32.103
20/7/23 4:44:01 PM,C,32.103
20/7/23 4:45:01 PM,C,32.602
20/7/23 4:46:01 PM,C,32.602
20/7/23 4:47:01 PM,C,32.602
20/7/23 4:48:01 PM,C,32.602
20/7/23 4:49:01 PM,C,32.602
20/7/23 4:50:01 PM,C,32.103
20/7/23 4:51:01 PM,C,32.103
20/7/23 4:52:01 PM,C,32.103
20/7/23 4:53:01 PM,C,32.103
20/7/23 4:54:01 PM,C,32.103
20/7/23 4:55:01 PM,C,32.602
20/7/23 4:56:01 PM,C,32.103
20/7/23 4:57:01 PM,C,32.602
20/7/23 4:58:01 PM,C,32.602
20/7/23 4:59:01 PM,C,32.602
20/7/23 5:00:01 PM,C,32.602
20/7/23 5:01:01 PM,C,32.602
20/7/23 5:02:01 PM,C,32.602
20/7/23 5:03:01 PM,C,32.602
20/7/23 5:04:01 PM,C,32.602
20/7/23 5:05:01 PM,C,32.602
20/7/23 5:06:01 PM,C,32.602
20/7/23 5:07:01 PM,C,32.602
20/7/23 5:08:01 PM,C,32.602
20/7/23 5:09:01 PM,C,32.602
20/7/23 5:10:01 PM,C,32.602
